,Description,Price
0,RESULTS,"25,999"
1,"(Renewed) Dell Intel Core i5 3320M 13.3-Inch (33.78 cms) 1366 x 768 Light Laptop (8 GB/1 TB/Windows 10/MS Office /Intel HD Graphics 4000//3.60 Kg), E6330","26,998"
2,"(Renewed) Dell Latitude E5440 Intel Core i5 4th Gen 14 inches HD Business Laptop (8GB RAM Upgradable to 16/1TB HDD/Windows 10 Pro/MS Office 2019/More than 4 GB Integrated Graphics, Black, 2.2 kg)","27,990"
3,"(Renewed) Dell Latitude Hybrid Laptop E6330 Intel Core i5 - 3380m @ 2.9Ghz Processor , 8 GB Ram & 128 GB SSD with 1TB Harddisk, 13.3 Inches Notebook Computer","28,990"
4,"(Renewed) Dell Latitude Hybrid Laptop E6330 Intel Core i5 - 3380m @ 2.9Ghz Processor , 8 GB Ram & 256 GB SSD with 1TB Harddisk, 13.3 Inches Notebook Computer","29,990"
5,"(Renewed) Dell Latitude Hybrid Laptop E6330 Intel Core i5 - 3380m @ 2.9Ghz Processor , 8 GB Ram & 128 GB SSD with 2TB Harddisk, 13.3 Inches Notebook Computer","29,990"
6,(Renewed) HP 840g2 EliteBook Laptop ( Intel Core i5 - 5300u /8 GB/1000 GB HDD/Windows 10 Pro/Black /14 Inch Screen),"30,990"
7,"(Renewed) Dell Latitude Hybrid Laptop E6330 Intel Core i5 - 3380m @ 2.9Ghz Processor , 8 GB Ram & 512 GB SSD with 1TB Harddisk, 13.3 Inches Notebook Computer","30,990"
8,"(Renewed) Dell Latitude Hybrid Laptop E6330 Intel Core i5 - 3380m @ 2.9Ghz Processor , 8 GB Ram & 256 GB SSD with 2TB Harddisk, 13.3 Inches Notebook Computer","32,990"
9,"(Renewed) Lenovo Intel 4th Gen Core i5 4300U 15.6-Inch (39.62 cms) 1366 X 768 Laptop (8 GB/1000 GB HDD/Windows/Intel HD Graphics/Black/2.40 Kg), L540","32,990"
10,"(Renewed) Dell Latitude Hybrid Laptop E6330 Intel Core i5 - 3380m @ 2.9Ghz Processor , 8 GB Ram & 512 GB SSD with 2TB Harddisk, 13.3 Inches Notebook Computer","32,999"
11,"(Renewed) Lenovo ThinkPad 13 Ultrabook intel Core i5 7th Gen Laptop, 13.3"" IPS FHD Screen, 8 GB RAM, 1TB SSD, Windows 11 (Upgraded), MS Office, Black","33,290"
12,"(Renewed) HP Probook Intel 3rd Gen Core i5 15.6-Inch (39.62 cms) 1366x768 Laptop (8 GB/1 TB/Windows 7/Intel Integrated/Copper/2.5 Kg), 6570b-i5-8 GB-1 TB","34,848"
13,"(Refurbished) Lenovo Intel Core i5 3320M 14-Inch (35.56 cms) HD (1366 X 768) Pixels Laptop (8 GB/1 TB/Windows 10 Pro/Intel/Grey/1.70 kg), T430-i5-8-128-1TB","34,990"
14,"(Renewed) Lenovo Intel 4th Gen Core i5 4300U 15.6-Inch (39.62 cms) 1366 X 768 Laptop (8 GB/2000 GB HDD/Windows/Intel HD Graphics/Black/2.40 Kg), L540","35,099"
15,"(Renewed) Dell Intel Core i5 4th Gen 14.Inch(35.6 cms) (1366 x 768)HD TOUCHSCREEN Laptop (8GB RAM/1TB HDD/Windows 10 Pro/MS Office/ Intel HD Integrated Graphics/1.18Kg,Black) Latitude E3340","35,290"
16,"(Renewed) HP Elitebook Intel 3rd Gen Core i5 14-Inch (35.56 cms) 1366x768 Laptop (8 GB/1 TB/Windows 7/Integrated Graphics/Silver/2 kg), 8470p-i5-8 GB-1 TB","35,390"
17,"(Refurbished) HP 6570b Probook with Numeric Keypad 15.6 Inch Screen Laptop (3rd Gen Intel Core i5 - 3360m /8 GB/2000 GB HDD/Windows 10 Pro), Copper","35,718"
18,"(Renewed) ASUS VivoBook 14 (2021), 14-inch (35.56 cm) FHD, Intel Core i5-1035G1 10th Gen, Thin and Light Laptop (8GB/1TB HDD/Office 2021/Windows 11/Integrated Graphics/Silver/1.6 kg), X415JA-EB501WS","35,798"
19,"(Renewed) Dell Latitude E6440 14-inch Laptop (Core I5 4th Gen/8GB/1 TB HDD/Windows 10/MS Office Pro 2019/Integrated Graphics), Black","35,989"
20,"(Renewed) HP Intel 6th Gen Core i5-6267U 14.5-Inch (36.83 cms) HD (1366 X 768) MP Laptop (8 GB/1TB HDD/Windows 10 Pro/MS Office 2019 /Intel/Silver/2.20 Kg), 840 G3","35,999"
21,"(Refurbished) Dell Intel Core i5-4th Gen 14 Inch(35.56 cms) 1366x768 HD Laptop (8GB RAM/1TB HDD/Windows 10 Pro/MS Office/Intel Integrated HD Graphics 4400/1.9Kg,Silver) Latitude E7440","35,999"
22,(Refurbished) Hp Intel 4th Gen Core i5 12.5-inch (31.75 Cms) 1366 X 768 Laptop (8GB RAM/1TB HDD/Windows 10 Pro/MS Office/ Intel HD Integrated Graphics/ Black/1.54Kg) EliteBook 820 G1,"36,099"
23,"(Renewed) Dell Intel Core i5 6th Gen 12.5-Inch(31.75 cms) (1366 x 768) Laptop (8GB RAM/1TB HDD/Windows 10 Pro/MS Office/Intel Integrated HD Graphics/1.4Kg,Black) Latitude E5270","36,190"
