,Description,Ram,Display,Price
0,"REDMI 9 Activ (Coral Green, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,"₹11,149"
1,"REDMI 9 Activ (Carbon Black, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,"₹11,249"
2,"POCO M2 (Brick Red, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹11,499"
3,"POCO M2 (Slate Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹11,499"
4,"POCO M2 (Pitch Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹11,499"
5,"LAVA Z6 (Aqua Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.55 cm (6.517 inch) HD+ Display,"₹11,499"
6,"REDMI 9 Activ (Metallic Purple, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,"₹11,675"
7,"Tecno Pova Neo (Geek Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,17.27 cm (6.8 inch) HD+ Display,"₹11,845"
8,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,"₹12,499"
9,"REDMI 10 (Pacific Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,"₹12,499"
10,"REDMI 10 (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,"₹12,499"
11,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,"₹12,499"
12,"REDMI 10 (Caribbean Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,"₹12,499"
13,"Infinix Note 11 (Celestial Snow, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,"₹12,499"
14,"Infinix Note 11 (Graphite Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,"₹12,499"
15,"Infinix Note 11 (Glacier Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,"₹12,499"
16,"Tecno Pova Neo (Obsidian Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,17.27 cm (6.8 inch) HD+ Display,"₹12,890"
17,"OPPO A31 (Mystery Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,"₹12,899"
18,"OPPO A31 (Fantasy White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,"₹12,990"
19,"MOTOROLA g31 (Baby Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,"₹12,999"
20,"MOTOROLA g31 (Meteorite Grey, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,"₹12,999"
21,"Infinix Note 12 (Force Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,"₹12,999"
22,"POCO M3 (Yellow, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹12,999"
23,"SAMSUNG Galaxy M12 (White, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,"₹13,398"
