,Title,processor,Ram,Harddisk,Price
0,ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ501W Thin and Ligh...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹37,990"
1,ASUS Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ502T Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹44,990"
2,ASUS VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ501T Thin and Light Lapto...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹44,990"
3,Lenovo Ideapad 330 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 330-15IKB Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,"₹46,990"
4,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) A515-56 Thin and Light Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹47,090"
5,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) A514-54 Thin and Light Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹47,090"
6,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) A515-56 Notebook,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹48,390"
7,HP 250 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10) 250 G7 Business Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹48,490"
8,acer Aspire 3 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) A315-58 Notebook,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹49,599"
9,acer Aspire 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A315-57G Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹49,690"
10,ASUS Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) R540UB-DM723T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,"₹49,999"
11,Lenovo Ideapad 330 Core i5 8th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) 330-15IKB Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,"₹49,999"
12,Lenovo B50-70 Notebook (4th Gen Ci5/ 8GB/ 1TB/ Win8/ 2GB Graph) (59-427747),Intel Core i5 Processor (4th Gen),8 GB DDR3 RAM,1 TB HDD,"₹52,490"
13,DELL Vostro Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3400 Thin and Light Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹53,290"
14,MSI GF63 Thin Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 ...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹53,990"
15,HP 15s Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15s-du3060TX Thin and Light La...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹56,490"
16,ASUS ExpertBook P1 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Li...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹56,990"
17,DELL Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10) 3400 Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹57,490"
18,Lenovo Ideapad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹57,999"
19,DELL Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 14 3400 Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,"₹58,990"
20,acer Aspire 5 Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G-...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,"₹59,990"
21,Lenovo Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX NVIDIA GeFor...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,"₹60,990"
22,acer Aspire 5 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G Thin and Light ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,"₹61,990"
23,HP Pavilion 15-CS Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15-cs1000tx Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,"₹64,990"
